token	source	sfdir_file	context_required	category	block_level	definition
AccentBaseHeight	src_math_c	font.props	line_math	property	neutral	
AltUni2	spec	.glyph	none	property	neutral	
AlternateSubs2	spec	.glyph	none	property	neutral	
AnchorClass2	spec	font.props	none	property	neutral	
AnchorPoint	spec	.glyph	none	property	neutral	
AntiAlias	spec	font.props	none	property	neutral	
Ascent	spec	font.props	none	property	neutral	
AxisHeight	src_math_c	font.props	line_math	property	neutral	
BClass	spec	font.props	block_fpst	property	neutral	
BClsList	spec	font.props	block_fpst	property	neutral	
BCoverage	spec	font.props	block_fpst	property	neutral	
BDFChar	spec	.bitmap	none	property	block_start_or_continue	
BDFEndProperties	spec	strike.props	none	keyword	block_end	
BDFRefChar	spec	.bitmap	none	property	neutral	
BDFStartProperties	spec	strike.props	none	keyword	block_start	
BString	spec	font.props	block_fpst	property	neutral	
Back	spec	.glyph	none	constant	neutral	
Base	spec	autosave	none	property	neutral	
BaseHoriz	spec	font.props	none	property	neutral	
BaseScript	spec	font.props	none	property	neutral	
BeginChars	spec	font.props	none	keyword	block_start	
BeginMMFonts	spec	font.props	none	keyword	block_start	
BeginPrivate	spec	font.props	none	keyword	block_start	
BeginSubFonts	spec	font.props	none	keyword	block_start	
BitmapFont	spec	.bitmap	none	keyword	block_start	
BlueFuzz	src_splinefont_c	font.props	block_private	property	neutral	
BlueScale	src_splinefont_c	font.props	block_private	property	neutral	
BlueShift	src_splinefont_c	font.props	block_private	property	neutral	
BlueValues	spec	font.props	block_private	property	neutral	
BottomLeftVertex	spec	.glyph	none	property	neutral	
BottomRightVertex	spec	.glyph	none	property	neutral	
CIDVersion	spec	font.props	none	property	neutral	
COMMENT	spec	font.props	none	property	neutral	
ChainPos2	spec	font.props	none	keyword	block_start	
ChainSub2	spec	font.props	none	keyword	block_start	
Charname	src_sfd_c	autosave	none	property	neutral	
Class	spec	font.props	block_fpst|block_macasm	property	neutral	
Class0	src_sfd_c	font.props	block_fpst	property	neutral	
ClsList	spec	font.props	block_fpst	property	neutral	
Colour	spec	.glyph	none	property	neutral	
Comment	spec	.glyph	none	property	neutral	
Comments	spec	font.props	none	property	neutral	
Compacted	src_sfd_c	font.props	none	property	neutral	
CompositionUnit	src_sfd_c	font.props	none	property	neutral	
ContextPos2	spec	font.props	none	keyword	block_start	
ContextSub2	spec	font.props	none	keyword	block_start	
CopiedFrom	src_sfd_c	autosave	none	property	neutral	
Copyright	spec	font.props	none	property	neutral	
CounterMasks	spec	.glyph	none	property	neutral	
Coverage	spec	font.props	block_fpst	property	neutral	
CreationTime	spec	font.props	none	property	neutral	
DEI	spec	font.props	none	property	neutral	
DStem2	spec	.glyph	none	property	neutral	
Decomposition	src_sfd_c	font.props	none	property	neutral	
DelimitedSubFormulaMinHeight	src_math_c	font.props	line_math	property	neutral	
Descent	spec	font.props	none	property	neutral	
DesignSize	src_sfd_c	font.props	none	property	neutral	
DisplayLayer	spec	font.props	none	property	neutral	
DisplayOperatorMinHeight	src_math_c	font.props	line_math	property	neutral	
DisplaySize	spec	font.props	none	property	neutral	
Encoding	spec	font.props|.glyph	none	property	neutral	
EndASM	spec	font.props	none	keyword	block_end	
EndBitmapFont	spec	font.props	none	keyword	block_end	
EndChar	spec	.glyph	none	keyword	block_end	
EndChars	spec	font.props	none	keyword	block_end	
EndFPST	spec	font.props	none	keyword	block_end	
EndImage	spec	.glyph	none	keyword	block_end	
EndImage2	src_sfd_c	.glyph	none	keyword	block_end	
EndJustify	spec	font.props	none	keyword	block_end	
EndMacFeatures	src_sfd_c	font.props	none	keyword	block_end	
EndMMSubroutine	spec	font.props	none	keyword	block_end	
End{s}Operation	src_sfd_c	autosave	none	property	neutral	
EndPrivate	spec	font.props	none	keyword	block_end	
EndRedoes	src_sfd_c	autosave	none	property	block_end	
EndShort	spec	.glyph	block_tttable	keyword	block_end	
EndSpiro	spec	.glyph	none	keyword	block_end	
EndSplineFont	spec	font.props	none	keyword	neutral	
EndSplineSet	spec	.glyph	none	keyword	block_end	
EndTtf	spec	.glyph	none	keyword	block_end	
EndUndoes	src_sfd_c	autosave	none	property	block_end	
EndUndoRedoHistory	src_sfd_c	autosave	none	property	block_end	
ExpansionFactor	src_splinefont_c	font.props	none	property	neutral	
ExtremaBound	spec	font.props	none	property	neutral	
FClass	src_sfd_c	font.props	block_fpst	property	neutral	
FClsList	spec	font.props	block_fpst	property	neutral	
FCoverage	src_sfd_c	font.props	block_fpst	property	neutral	
FONDName	src_sfd_c	font.props	none	property	neutral	
FONT_DESCENT	spec	strike.props	block_bdfproperties	property	neutral	
FSType	spec	font.props	none	property	neutral	
FString	spec	font.props	block_fpst	property	neutral	
FamilyBlues	src_splinefont_c	font.props	block_private	property	neutral	
FamilyOtherBlues	src_splinefont_c	font.props	block_private	property	neutral	
FamilyName	spec	font.props	none	property	neutral	
FillGradient	spec	.glyph	none	property	neutral	
FillPattern	spec	.glyph	none	property	neutral	
FitToEm	spec	font.props	none	property	neutral	
Flags	spec	font.props	none	property	neutral	
FlattenedAccentBaseHeight	src_math_c	font.props	line_math	property	neutral	
FontLog	spec	font.props	none	property	neutral	
FontName	spec	font.props	none	property	neutral	
ForceBold	spec	font.props	none	property	neutral	
Fore	spec	.glyph	none	constant	neutral	
FractionDenominatorDisplayStyleGapMin	src_math_c	font.props	line_math	property	neutral	
FractionDenominatorDisplayStyleShiftDown	src_math_c	font.props	line_math	property	neutral	
FractionDenominatorGapMin	src_math_c	font.props	line_math	property	neutral	
FractionDenominatorShiftDown	src_math_c	font.props	line_math	property	neutral	
FractionNumeratorDisplayStyleGapMin	src_math_c	font.props	line_math	property	neutral	
FractionNumeratorDisplayStyleShiftUp	src_math_c	font.props	line_math	property	neutral	
FractionNumeratorGapMin	src_math_c	font.props	line_math	property	neutral	
FractionNumeratorShiftUp	src_math_c	font.props	line_math	property	neutral	
FractionRuleThickness	src_math_c	font.props	line_math	property	neutral	
FullName	spec	font.props	none	property	neutral	
GaspTable	spec	font.props	none	property	neutral	
GlifName	src_sfd_c	autosave	none	property	neutral	
GlyphClass	spec	.glyph	none	property	neutral	
GlyphCompositionHorizontal	src_sfd_c	.glyph	none	property	neutral	
GlyphCompositionVertical	src_sfd_c	.glyph	none	property	neutral	
GlyphConstructionHorizontal	spec	.glyph	none	property	neutral	
GlyphConstructionVertical	spec	.glyph	none	property	neutral	
GlyphVariantsHorizontal	spec	.glyph	none	property	neutral	
GlyphVariantsVertical	spec	.glyph	none	property	neutral	
Grid	spec	font.props	none	keyword	block_start	
Guideline	src_sfd_c	font.props	none	keyword	neutral	
HStem	spec	.glyph	none	property	neutral	
HheadAOffset	spec	font.props	none	property	neutral	
HheadAscent	spec	font.props	none	property	neutral	
HheadDOffset	spec	font.props	none	property	neutral	
HheadDescent	spec	font.props	none	property	neutral	
Image	spec	.glyph	none	keyword	block_start	
Image2	src_sfd_c	autosave	none	property	neutral	
InSpiro	spec	.glyph	none	property	neutral	
Index	src_sfd_c	autosave	none	property	neutral	
InstructionsLength	src_sfd_c	autosave	none	property	neutral	
InvalidEm	spec	font.props	none	property	neutral	
IsExtendedShape	spec	.glyph	line_math	property	neutral	
ItalicAngle	spec	font.props	none	property	neutral	
ItalicCorrection	spec	.glyph	none	property	neutral	
JstfDisableExtend	spec	font.props	block_justprio	property	neutral	
JstfDisableShrink	spec	font.props	block_justprio	property	neutral	
JstfEnableExtend	spec	font.props	block_justprio	property	neutral	
JstfEnableShrink	spec	font.props	block_justprio	property	neutral	
JstfExtender	spec	font.props	block_justify	property	neutral	
JstfLang	spec	font.props	block_justify	property	neutral	
JstfMaxExtend	spec	font.props	block_justprio	property	neutral	
JstfMaxShrink	spec	font.props	block_justprio	property	neutral	
JstfPrio	spec	font.props	block_justify	keyword	block_start	
Justify	spec	font.props	none	keyword	block_start	
KernClass2	spec	font.props	none	keyword	block_start_or_continue	
KernClass3	src_sfd_c	font.props	none	keyword	block_start_or_continue	
Kerns2	spec	.glyph	none	property	neutral	
LBearingChange	src_sfd_c	autosave	none	property	neutral	
LCarets2	spec	.glyph	none	property	neutral	
LangName	spec	font.props	none	property	neutral	
LanguageGroup	src_splinefont_c	font.props	none	property	neutral	
Layer	spec	font.props	none	property	neutral	
Layer	src_sfd_c	autosave	none	property	neutral	
LayerCount	spec	.glyph	none	property	neutral	
LayerCount	spec	font.props	none	property	neutral	
Ligature2	spec	.glyph	none	property	neutral	
LigCaretCntFixed	src_sfd_c	autosave	none	property	neutral	
LineGap	spec	font.props	none	property	neutral	
Lookup	spec	font.props	none	property	neutral	
LowerLimitBaselineDropMin	src_math_c	font.props	line_math	property	neutral	
LowerLimitGapMin	src_math_c	font.props	line_math	property	neutral	
MATH	spec	font.props	none	decorator	neutral	
MMAxis	spec	font.props	none	property	neutral	
MMAxisMap	spec	font.props	none	property	neutral	
MMCDV	spec	font.props	none	keyword	block_start	
MMCounts	spec	font.props	none	property	neutral	
MMNDV	spec	font.props	none	keyword	block_start	
MMNamedInstance	spec	font.props	none	property	neutral	
MMPositions	spec	font.props	none	property	neutral	
MMWeights	spec	font.props	none	property	neutral	
MacContext2	spec	font.props	none	keyword	block_start	
MacFeat	spec	font.props	none	property	neutral	
MacIndic2	spec	font.props	none	keyword	block_start	
MacInsert2	spec	font.props	none	keyword	block_start	
MacKern2	spec	font.props	none	keyword	block_start	
MacName	spec	font.props	none	property	neutral	
MacSetting	spec	font.props	none	property	neutral	
MacStyle	spec	font.props	none	property	neutral	
MarkAttachClasses	spec	font.props	none	keyword	block_start	
MarkAttachSets	spec	font.props	none	keyword	block_start	
MathLeading	src_math_c	font.props	line_math	property	neutral	
MinConnectorOverlap	spec	font.props	none	property	neutral	
ModificationTime	spec	font.props	none	property	neutral	
MultipleSubs2	spec	.glyph	none	property	neutral	
NameList	spec	font.props	none	property	neutral	
Named	src_sfd_c	font.props	block_splineset	property	neutral	
OS2CodePages	spec	font.props	none	property	neutral	
OS2FamilyClass	spec	font.props	none	property	neutral	
OS2LineGap	spec	font.props	none	property	neutral	
OS2StrikeYPos	spec	font.props	none	property	neutral	
OS2StrikeYSize	spec	font.props	none	property	neutral	
OS2SubXOff	spec	font.props	none	property	neutral	
OS2SubXSize	spec	font.props	none	property	neutral	
OS2SubYOff	spec	font.props	none	property	neutral	
OS2SubYSize	spec	font.props	none	property	neutral	
OS2SupXOff	spec	font.props	none	property	neutral	
OS2SupXSize	spec	font.props	none	property	neutral	
OS2SupYOff	spec	font.props	none	property	neutral	
OS2SupYSize	spec	font.props	none	property	neutral	
OS2TypoAOffset	spec	font.props	none	property	neutral	
OS2TypoAscent	spec	font.props	none	property	neutral	
OS2TypoDOffset	spec	font.props	none	property	neutral	
OS2TypoDescent	spec	font.props	none	property	neutral	
OS2TypoLinegap	spec	font.props	none	property	neutral	
OS2UnicodeRanges	spec	font.props	none	property	neutral	
OS2Vendor	spec	font.props	none	property	neutral	
OS2Version	spec	font.props	none	property	neutral	
OS2WinAOffset	spec	font.props	none	property	neutral	
OS2WinAscent	spec	font.props	none	property	neutral	
OS2WinDOffset	spec	font.props	none	property	neutral	
OS2WinDescent	spec	font.props	none	property	neutral	
OS2_UseTypoMetrics	spec	font.props	none	property	neutral	
OS2_WeightWidthSlopeOnly	spec	font.props	none	property	neutral	
OnlyBitmaps	spec	font.props	none	property	neutral	
Operation	src_sfd_c	autosave	none	property	neutral	
Order2	spec	font.props	none	property	neutral	
Ordering	spec	font.props	none	property	neutral	
OtfFeatName	spec	font.props	none	property	neutral	
OverbarExtraAscender	src_math_c	font.props	line_math	property	neutral	
OverbarRuleThickness	src_math_c	font.props	line_math	property	neutral	
OverbarVerticalGap	src_math_c	font.props	line_math	property	neutral	
PFMFamily	spec	font.props	none	property	neutral	
PairPos2	spec	.glyph	none	property	neutral	
Panose	spec	font.props	none	property	neutral	
PathFlags	spec	.glyph	block_splineset	property	neutral	
PathStart	spec	.glyph	block_splineset	property	neutral	
PfmFamily	spec	font.props	none	property	neutral	
PickledData	spec	.glyph	none	keyword	block_start	
PickledDataWithLists	src_sfd_c	.glyph	none	keyword	block_start	
Position2	spec	.glyph	none	property	neutral	
RadicalDegreeBottomRaisePercent	src_math_c	font.props	line_math	property	neutral	
RadicalDisplayStyleVerticalGap	src_math_c	font.props	line_math	property	neutral	
RadicalExtraAscender	src_math_c	font.props	line_math	property	neutral	
RadicalKernAfterDegree	src_math_c	font.props	line_math	property	neutral	
RadicalKernBeforeDegree	src_math_c	font.props	line_math	property	neutral	
RadicalRuleThickness	src_math_c	font.props	line_math	property	neutral	
RadicalVerticalGap	src_math_c	font.props	line_math	property	neutral	
Redoes	src_sfd_c	autosave	none	property	block_start	
Ref	spec	.glyph	none	property	neutral	
Refer	spec	.glyph	none	property	neutral	
Registry	spec	font.props	none	property	neutral	
Remap	src_sfd_c	font.props	none	property	neutral	
RemapN	src_sfd_c	font.props	none	property	neutral	
Replace	spec	font.props	block_fpst	property	neutral	
Resolution	spec	strike.props	none	property	neutral	
ReverseChain2	spec	font.props	none	keyword	block_start	
ScriptPercentScaleDown	spec	font.props	line_math	property	neutral	
ScriptScriptPercentScaleDown	spec	font.props	line_math	property	neutral	
SeqLookup	spec	font.props	block_fpst	property	neutral	
ShortTable	spec	font.props	none	keyword	block_start	
SkewedFractionHorizontalGap	src_math_c	font.props	line_math	property	neutral	
SkewedFractionVerticalGap	src_math_c	font.props	line_math	property	neutral	
SpaceAfterScript	src_math_c	font.props	line_math	property	neutral	
Spiro	spec	.glyph	block_splineset	keyword	block_start	
SplineFontDB	spec	font.props	none	property	neutral	
SplineSet	spec	.glyph	none	keyword	block_start	
StackBottomDisplayShiftDown	spec	font.props	none	property	neutral	
StackBottomDisplayStyleShiftDown	otf_math	font.props	line_math	property	neutral	
StackBottomShiftDown	src_math_c	font.props	line_math	property	neutral	
StackDisplayStyleGapMin	src_math_c	font.props	line_math	property	neutral	
StackGapMin	src_math_c	font.props	line_math	property	neutral	
StackTopDisplayStyleShiftUp	src_math_c	font.props	line_math	property	neutral	
StackTopShiftUp	src_math_c	font.props	line_math	property	neutral	
StartChar	spec	.glyph	none	keyword	block_start	
StdHW	src_splinefont_c	font.props	block_private	property	neutral	
StdVW	src_splinefont_c	font.props	block_private	property	neutral	
StemSnapH	src_splinefont_c	font.props	block_private	property	neutral	
StemSnapV	src_splinefont_c	font.props	block_private	property	neutral	
StretchStackBottomShiftDown	src_math_c	font.props	line_math	property	neutral	
StretchStackGapAboveMin	src_math_c	font.props	line_math	property	neutral	
StretchStackGapBelowMin	src_math_c	font.props	line_math	property	neutral	
StretchStackTopShiftUp	src_math_c	font.props	line_math	property	neutral	
String	spec	font.props	block_fpst	property	neutral	
StrokeGradient	spec	.glyph	none	property	neutral	
StrokePattern	spec	.glyph	none	property	neutral	
SubSuperscriptGapMin	src_math_c	font.props	line_math	property	neutral	
SubscriptBaselineDropMin	src_math_c	font.props	line_math	property	neutral	
SubscriptShiftDown	spec	font.props	line_math	property	neutral	
SubscriptTopMax	src_math_c	font.props	line_math	property	neutral	
Substitution2	spec	.glyph	none	property	neutral	
SuperscriptBaselineDropMax	src_math_c	font.props	line_math	property	neutral	
SuperscriptBottomMaxWithSubscript	src_math_c	font.props	line_math	property	neutral	
SuperscriptBottomMin	src_math_c	font.props	line_math	property	neutral	
SuperscriptShiftUp	src_math_c	font.props	line_math	property	neutral	
SuperscriptShiftUpCramped	src_math_c	font.props	line_math	property	neutral	
Supplement	spec	font.props	none	property	neutral	
TEX	spec	.glyph	none	property	neutral	
TTFWeight	spec	font.props	none	property	neutral	
TTFWidth	spec	font.props	none	property	neutral	
TeXData	spec	font.props	none	property	neutral	
TileBounds	spec	.glyph	none	property	neutral	
TileMargin	spec	.glyph	none	property	neutral	
TopAccentHorizontal	spec	.glyph	line_math	property	neutral	
TopLeftVertex	spec	.glyph	none	property	neutral	
TopRightVertex	spec	.glyph	none	property	neutral	
TtInstrs	spec	.glyph	none	keyword	block_start	
TtTable	spec	font.props	none	keyword	block_start	
TtfInstrs	spec	.glyph	none	keyword	block_start	
TtfTable	spec	font.props	none	keyword	block_start	
Type	src_sfd_c	autosave	none	property	neutral	
UComments	spec	font.props	none	property	neutral	
UFOAscent	spec	font.props	none	property	neutral	
UFODescent	spec	font.props	none	property	neutral	
UnderbarExtraDescender	src_math_c	font.props	line_math	property	neutral	
UnderbarRuleThickness	src_math_c	font.props	line_math	property	neutral	
UnderbarVerticalGap	src_math_c	font.props	line_math	property	neutral	
UnderlinePosition	spec	font.props	none	property	neutral	
UnderlineWidth	spec	font.props	none	property	neutral	
UndoRedoHistory	src_sfd_c	autosave	none	property	block_start	
Undoes	src_sfd_c	autosave	none	property	block_start	
UnicodeEnc	src_sfd_c	autosave	none	property	neutral	
UnicodeInterp	spec	font.props	none	property	neutral	
UnlinkRmOvrlpSave	spec	.glyph	none	property	neutral	
UpperLimitBaselineRiseMin	src_math_c	font.props	line_math	property	neutral	
UpperLimitGapMin	src_math_c	font.props	line_math	property	neutral	
UseUniqueID	spec	font.props	none	property	neutral	
UseXUID	spec	font.props	none	property	neutral	
VKernClass2	src_sfd_c	font.props	none	keyword	block_start_or_continue	
VKernClass3	src_sfd_c	font.props	none	keyword	block_start_or_continue	
VLineGap	spec	font.props	none	property	neutral	
VStem	spec	.glyph	none	property	neutral	
VWidth	spec	.glyph	none	property	neutral	
Validated	spec	.glyph	none	property	neutral	
Version	spec	font.props	none	property	neutral	
WasModified	src_sfd_c	autosave	none	property	neutral	
WasOrder2	src_sfd_c	autosave	none	property	neutral	
Weight	spec	font.props	none	property	neutral	
Width	spec	.glyph	none	property	neutral	
WidthSeparation	spec	font.props	none	property	neutral	
WinInfo	spec	font.props	none	property	neutral	
XUID	spec	font.props	none	property	neutral	
sfntRevision	spec	font.props	none	property	neutral	
woffMajor	spec	font.props	none	property	neutral	
woffMetadata	spec	font.props	none	property	neutral	
woffMinor	spec	font.props	none	property	neutral	
H	spec	.glyph	line_flags	constant	neutral	
M	spec	.glyph	line_flags	constant	neutral	
W	spec	.glyph	line_flags	constant	neutral	
O	spec	.glyph	line_flags	constant	neutral	
I	spec	.glyph	line_flags	constant	neutral	
m	spec	.glyph	splineset	builtin	neutral	
c	spec	.glyph	splineset	builtin	neutral	
l	spec	.glyph	splineset	builtin	neutral	
v	spec	.glyph	block_spiro	builtin	neutral	
o	spec	.glyph	block_spiro	builtin	neutral	
c	spec	.glyph	block_spiro	builtin	neutral	
[	spec	.glyph	block_spiro	builtin	neutral	
]	spec	.glyph	block_spiro	builtin	neutral	
{	spec	.glyph	block_spiro	builtin	neutral	
z	spec	.glyph	block_spiro	builtin	neutral	
N	spec	.glyph	line_refer	constant	neutral	
S	spec	.glyph	line_refer	constant	neutral	
O	spec	.glyph	line_refer	constant	neutral	
coverage	spec	font.props	line_fpst	type	neutral	
class	spec	font.props	line_fpst	type	neutral	
glyph	spec	font.props	line_fpst	type	neutral	
revcov	spec	font.props	line_fpst	type	neutral	
basechar	spec	.glyph	line_anchorpoint	constant	neutral	
mark	spec	.glyph	line_anchorpoint	constant	neutral	
baselig	spec	.glyph	line_anchorpoint	constant	neutral	
basemark	spec	.glyph	line_anchorpoint	constant	neutral	
entry	spec	.glyph	line_anchorpoint	constant	neutral	
exit	spec	.glyph	line_anchorpoint	constant	neutral	
miter	spec	.glyph	line_layer	constant	neutral	
round	spec	.glyph	line_layer	constant	neutral	
bevel	spec	.glyph	line_layer	constant	neutral	
inherited	spec	.glyph	line_layer	constant	neutral	
butt	spec	.glyph	line_layer	constant	neutral	
square	spec	.glyph	line_layer	constant	neutral	
=>	spec	font.props	line_mmaxismap	operator	neutral	
dx	spec	.glyph	line_gpos	property	neutral	
dy	spec	.glyph	line_gpos	property	neutral	
dh	spec	.glyph	line_gpos	property	neutral	
dv	spec	.glyph	line_gpos	property	neutral	
